cmo,school,quart,grade,subject,boy,moy,eoy
ReNEW,ReNEW Cultural Arts Academy,Top Quartile,0,reading,0.06,0.042553191,
ReNEW,ReNEW Cultural Arts Academy,3rd Quartile,0,reading,0.21,0.191489362,
ReNEW,ReNEW Cultural Arts Academy,2nd Quartile,0,reading,0.49,0.29787234,
ReNEW,ReNEW Cultural Arts Academy,Bottom Quartile,0,reading,0.23,0.468085106,
ReNEW,SciTech Academy,Top Quartile,0,reading,0.03,0.111111111,
ReNEW,SciTech Academy,3rd Quartile,0,reading,0.19,0.206349206,
ReNEW,SciTech Academy,2nd Quartile,0,reading,0.3,0.301587302,
ReNEW,SciTech Academy,Bottom Quartile,0,reading,0.48,0.380952381,
ReNEW,Dolores T Aaron Elementary,Top Quartile,0,reading,0.11,0.351648352,
ReNEW,Dolores T Aaron Elementary,3rd Quartile,0,reading,0.19,0.164835165,
ReNEW,Dolores T Aaron Elementary,2nd Quartile,0,reading,0.36,0.318681319,
ReNEW,Dolores T Aaron Elementary,Bottom Quartile,0,reading,0.34,0.164835165,
ReNEW,Schaumburg Elementary,Top Quartile,0,reading,0.03,0.128571429,
ReNEW,Schaumburg Elementary,3rd Quartile,0,reading,0.16,0.114285714,
ReNEW,Schaumburg Elementary,2nd Quartile,0,reading,0.27,0.357142857,
ReNEW,Schaumburg Elementary,Bottom Quartile,0,reading,0.54,0.4,
Ingenuity Prep,Ingenuity Prep,Top Quartile,0,reading,0.14,0.27,
Ingenuity Prep,Ingenuity Prep,3rd Quartile,0,reading,0.21,0.22,
Ingenuity Prep,Ingenuity Prep,2nd Quartile,0,reading,0.43,0.33,
Ingenuity Prep,Ingenuity Prep,Bottom Quartile,0,reading,0.21,0.18,
E.L. Haynes PCS,E.L. Haynes PCS,Top Quartile,0,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,3rd Quartile,0,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,2nd Quartile,0,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,Bottom Quartile,0,reading,,,
DC Prep,DC Prep-Edgewood Elementary Campus,Top Quartile,0,reading,0.594202899,0.507246377,
DC Prep,DC Prep-Edgewood Elementary Campus,3rd Quartile,0,reading,0.246376812,0.260869565,
DC Prep,DC Prep-Edgewood Elementary Campus,2nd Quartile,0,reading,0.101449275,0.202898551,
DC Prep,DC Prep-Edgewood Elementary Campus,Bottom Quartile,0,reading,0.057971014,0.028985507,
DC Prep,DC Prep-Benning Elementary Campus,Top Quartile,0,reading,0.37,0.4,
DC Prep,DC Prep-Benning Elementary Campus,3rd Quartile,0,reading,0.43,0.29,
DC Prep,DC Prep-Benning Elementary Campus,2nd Quartile,0,reading,0.1,0.2,
DC Prep,DC Prep-Benning Elementary Campus,Bottom Quartile,0,reading,0.1,0.11,
Rocketship,Rocketship Mateo Sheedy,Top Quartile,0,reading,0.120689655,0.1875,
Rocketship,Rocketship Mateo Sheedy,3rd Quartile,0,reading,0.155172414,0.214285714,
Rocketship,Rocketship Mateo Sheedy,2nd Quartile,0,reading,0.344827586,0.258928571,
Rocketship,Rocketship Mateo Sheedy,Bottom Quartile,0,reading,0.379310345,0.339285714,
Rocketship,Rocketship Si Se Puede,Top Quartile,0,reading,0.021505376,0.152173913,
Rocketship,Rocketship Si Se Puede,3rd Quartile,0,reading,0.301075269,0.260869565,
Rocketship,Rocketship Si Se Puede,2nd Quartile,0,reading,0.322580645,0.304347826,
Rocketship,Rocketship Si Se Puede,Bottom Quartile,0,reading,0.35483871,0.282608696,
Rocketship,Rocketship Los Suenos,Top Quartile,0,reading,0.10619469,0.206896552,
Rocketship,Rocketship Los Suenos,3rd Quartile,0,reading,0.212389381,0.215517241,
Rocketship,Rocketship Los Suenos,2nd Quartile,0,reading,0.300884956,0.25,
Rocketship,Rocketship Los Suenos,Bottom Quartile,0,reading,0.380530973,0.327586207,
Rocketship,Rocketship Mosaic,Top Quartile,0,reading,0.15,0.203389831,
Rocketship,Rocketship Mosaic,3rd Quartile,0,reading,0.216666667,0.220338983,
Rocketship,Rocketship Mosaic,2nd Quartile,0,reading,0.25,0.254237288,
Rocketship,Rocketship Mosaic,Bottom Quartile,0,reading,0.383333333,0.322033898,
Rocketship,Rocketship Discovery Prep,Top Quartile,0,reading,0.155555556,0.157303371,
Rocketship,Rocketship Discovery Prep,3rd Quartile,0,reading,0.177777778,0.191011236,
Rocketship,Rocketship Discovery Prep,2nd Quartile,0,reading,0.255555556,0.269662921,
Rocketship,Rocketship Discovery Prep,Bottom Quartile,0,reading,0.411111111,0.382022472,
Rocketship,Rocketship Brilliant Minds,Top Quartile,0,reading,0.051546392,0.214285714,
Rocketship,Rocketship Brilliant Minds,3rd Quartile,0,reading,0.24742268,0.244897959,
Rocketship,Rocketship Brilliant Minds,2nd Quartile,0,reading,0.216494845,0.295918367,
Rocketship,Rocketship Brilliant Minds,Bottom Quartile,0,reading,0.484536082,0.244897959,
Rocketship,Rocketship Alma Academy,Top Quartile,0,reading,0.168067227,0.35483871,
Rocketship,Rocketship Alma Academy,3rd Quartile,0,reading,0.235294118,0.217741935,
Rocketship,Rocketship Alma Academy,2nd Quartile,0,reading,0.31092437,0.233870968,
Rocketship,Rocketship Alma Academy,Bottom Quartile,0,reading,0.285714286,0.193548387,
Rocketship,Rocketship Spark Academy,Top Quartile,0,reading,0.236363636,0.466101695,
Rocketship,Rocketship Spark Academy,3rd Quartile,0,reading,0.318181818,0.271186441,
Rocketship,Rocketship Spark Academy,2nd Quartile,0,reading,0.227272727,0.169491525,
Rocketship,Rocketship Spark Academy,Bottom Quartile,0,reading,0.218181818,0.093220339,
Rocketship,Rocketship Southside Community Prep,Top Quartile,0,reading,0.121212121,0.152173913,
Rocketship,Rocketship Southside Community Prep,3rd Quartile,0,reading,0.303030303,0.304347826,
Rocketship,Rocketship Southside Community Prep,2nd Quartile,0,reading,0.151515152,0.304347826,
Rocketship,Rocketship Southside Community Prep,Bottom Quartile,0,reading,0.424242424,0.239130435,
ReNEW,ReNEW Cultural Arts Academy,Top Quartile,1,reading,0.057692308,0.096153846,
ReNEW,ReNEW Cultural Arts Academy,3rd Quartile,1,reading,0.173076923,0.076923077,
ReNEW,ReNEW Cultural Arts Academy,2nd Quartile,1,reading,0.346153846,0.25,
ReNEW,ReNEW Cultural Arts Academy,Bottom Quartile,1,reading,0.423076923,0.576923077,
ReNEW,SciTech Academy,Top Quartile,1,reading,0.134146341,0.158536585,
ReNEW,SciTech Academy,3rd Quartile,1,reading,0.146341463,0.304878049,
ReNEW,SciTech Academy,2nd Quartile,1,reading,0.304878049,0.146341463,
ReNEW,SciTech Academy,Bottom Quartile,1,reading,0.414634146,0.390243902,
ReNEW,Dolores T Aaron Elementary,Top Quartile,1,reading,0.057471264,0.068965517,
ReNEW,Dolores T Aaron Elementary,3rd Quartile,1,reading,0.126436782,0.252873563,
ReNEW,Dolores T Aaron Elementary,2nd Quartile,1,reading,0.24137931,0.24137931,
ReNEW,Dolores T Aaron Elementary,Bottom Quartile,1,reading,0.574712644,0.436781609,
ReNEW,Schaumburg Elementary,Top Quartile,1,reading,0.050632911,0.050632911,
ReNEW,Schaumburg Elementary,3rd Quartile,1,reading,0.088607595,0.164556962,
ReNEW,Schaumburg Elementary,2nd Quartile,1,reading,0.164556962,0.265822785,
ReNEW,Schaumburg Elementary,Bottom Quartile,1,reading,0.696202532,0.518987342,
E.L. Haynes PCS,E.L. Haynes PCS,Top Quartile,1,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,3rd Quartile,1,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,2nd Quartile,1,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,Bottom Quartile,1,reading,,,
DC Prep,DC Prep-Edgewood Elementary Campus,Top Quartile,1,reading,0.652173913,0.492753623,
DC Prep,DC Prep-Edgewood Elementary Campus,3rd Quartile,1,reading,0.231884058,0.217391304,
DC Prep,DC Prep-Edgewood Elementary Campus,2nd Quartile,1,reading,0.115942029,0.144927536,
DC Prep,DC Prep-Edgewood Elementary Campus,Bottom Quartile,1,reading,0,0.144927536,
DC Prep,DC Prep-Benning Elementary Campus,Top Quartile,1,reading,0.41,0.28,
DC Prep,DC Prep-Benning Elementary Campus,3rd Quartile,1,reading,0.31,0.31,
DC Prep,DC Prep-Benning Elementary Campus,2nd Quartile,1,reading,0.22,0.26,
DC Prep,DC Prep-Benning Elementary Campus,Bottom Quartile,1,reading,0.06,0.15,
Rocketship,Rocketship Mateo Sheedy,Top Quartile,1,reading,0.188034188,0.213675214,
